purchaser_name,matched_cin,matched_company_name,match_score,match_type
CHANDA INVESTMENT TRADING CO. PVT,U65929AS1978PTC001753,PURVANCHAL INVESTMENT & TRADING CO PVT LTD,0.6,bond_purchaser_to_company
NAHAR BUILDERS AND DEVELOPERS LTD,U45202AS2010PTC009923,RANGDHALI BUILDERS AND DEVELOPERS PRIVATE LIMITED,0.6,bond_purchaser_to_company
NAHAR BUILDERS AND DEVELOPERS LTD,U43299AS2024PTC026255,KRITAJNA BUILDERS AND DEVELOPERS PRIVATE LIMITED,0.6,bond_purchaser_to_company
NAHAR BUILDERS AND DEVELOPERS LTD,U45309AS2016PTC017670,CHANDRALI BUILDERS AND DEVELOPERS PRIVATE LIMITED,0.6,bond_purchaser_to_company
NAHAR BUILDERS AND DEVELOPERS LTD,U45209AS2013PTC011553,PRISMA BUILDERS AND DEVELOPERS PRIVATE LIMITED,0.6,bond_purchaser_to_company
NAHAR BUILDERS AND DEVELOPERS LTD,U70101AS1999PTC005661,LUITPAR BUILDERS AND DEVELOPERS PRIVATE LIMITED,0.6,bond_purchaser_to_company
ALMIGHTY FINANCE AND INVESTMENT P,U65929AS1997PTC005004,SASWATA FINANCE AND INVESTMENT PVT LIMITED,0.6,bond_purchaser_to_company
ALMIGHTY FINANCE AND INVESTMENT P,U65929AS1997PTC004978,PURBADESH FINANCE AND INVESTMENT PRIVATE LIMITED,0.6,bond_purchaser_to_company
ALMIGHTY FINANCE AND INVESTMENT P,U65929AS1995PLC004517,BOHAGI FINANCE AND INVESTMENT LTD,0.6,bond_purchaser_to_company
ALMIGHTY FINANCE AND INVESTMENT P,U65929AS1990PTC003400,PINCHA FINANCE AND INVESTMENT PVT LTD,0.6,bond_purchaser_to_company
ALMIGHTY FINANCE AND INVESTMENT P,U65921AS1996PTC004664,KAZIRANGA FINANCE AND INVESTMENT PVT LTD,0.6,bond_purchaser_to_company
HH IRON AND STEEL PRIVATE LIMITED,U24319AS2024PTC027202,K D IRON AND STEEL PRIVATE LIMITED,0.75,bond_purchaser_to_company
HH IRON AND STEEL PRIVATE LIMITED,U24319AS2023PTC025000,NIHARIKA IRON AND STEEL PRIVATE LIMITED,0.6,bond_purchaser_to_company
HH IRON AND STEEL PRIVATE LIMITED,U27100AS2015PTC012010,RUHINIPATI IRON AND STEEL PRIVATE LIMITED,0.6,bond_purchaser_to_company
HH IRON AND STEEL PRIVATE LIMITED,U51420AS1995PTC004518,D.S.IRON AND STEEL CO PVT LTD,0.6,bond_purchaser_to_company
HH IRON AND STEEL PRIVATE LIMITED,U27101AS1987PTC002686,BRAHMAPUTRA IRON AND STEEL COMPANY PRIVATE LIMITED,0.6,bond_purchaser_to_company
