entity_id,company_name,cin,composite_risk_score,risk_tier,bid_pattern_score,shell_risk_score,political_score,financials_score,num_connections,requires_human_review
U45309AS1972PLC001383,ASSAM ALKALI AND ALLIED CHEMICALS LIMITED,U45309AS1972PLC001383,34.45,MEDIUM,0.0,75.28,0.0,78.15,1,True
U65929AS1995PTC004451,MAA VAGALA FINANCE PRIVATE LIMITED,U65929AS1995PTC004451,34.27,MEDIUM,0.0,76.39,0.0,75.87,1,True
U55101AS1989PLC003257,HOTEL HARSH PVT. LTD.,U55101AS1989PLC003257,34.2,MEDIUM,0.0,73.05,0.0,79.68,1,True
U92100AS2008PTC008889,JEEVAN SANCHAY MEDIA SERVICES PRIVATE LIMITED,U92100AS2008PTC008889,34.2,MEDIUM,0.0,73.05,0.0,79.68,1,True
L51909AS1984PLC002239,KAVERI (INDIA) LTD.,L51909AS1984PLC002239,34.2,MEDIUM,0.0,73.05,0.0,79.68,1,True
L99999AS1985PLC002420,FAIRWELL FINANCE LTD,L99999AS1985PLC002420,34.2,MEDIUM,0.0,73.05,0.0,79.68,1,True
U13203AS1986PLC002514,KAMLAX INDUSTIES LTD,U13203AS1986PLC002514,34.2,MEDIUM,0.0,73.05,0.0,79.68,1,True
U65920AS1973PLC001401,PURBANCHALIYA CREDIT AND INVESTMENT CO. PVT. LTD.,U65920AS1973PLC001401,34.2,MEDIUM,0.0,73.05,0.0,79.68,1,True
U01119AS1993PTC003901,N N AGRO MAC PVT LTD,U01119AS1993PTC003901,34.13,MEDIUM,0.0,73.05,0.0,79.35,1,True
U72100AS1994PLC004236,GOLDMAN SACHS INVESTMENT CO LIMITED,U72100AS1994PLC004236,34.13,MEDIUM,0.0,73.05,0.0,79.32,1,True
U16008AS1999PTC005916,MILLENIUM PROGRESSIVE PRIVATE LIMITED,U16008AS1999PTC005916,34.11,MEDIUM,0.0,76.39,0.0,75.07,1,True
U17215AS1970PTC001317,ASSAM CANVAS CRAFTS INDUSTRIES PVT LTD,U17215AS1970PTC001317,34.11,MEDIUM,0.0,73.34,0.0,78.87,1,True
U15549AS1974PLC001554,GOLDEN STAR FILM PRODUCTION CO LTD,U15549AS1974PLC001554,34.09,MEDIUM,0.0,73.61,0.0,78.44,1,True
U67120AS1995PLC004525,TAURUS CAPITAL LIMITED,U67120AS1995PLC004525,34.08,MEDIUM,0.0,73.05,0.0,79.1,1,True
U51909AS1983PTC002065,G.D.PROJECTS & MARKETING CO PVT LTD,U51909AS1983PTC002065,34.08,MEDIUM,0.0,73.05,0.0,79.1,1,True
U51909AS1973PTC001422,LAMINATE INDIA PVT LTD,U51909AS1973PTC001422,34.05,MEDIUM,0.0,76.39,0.0,74.77,1,True
U74140AS1995PTC004647,CIBTECH INDIA PVT LTD,U74140AS1995PTC004647,34.05,MEDIUM,0.0,76.39,0.0,74.77,1,True
U72100AS1974PTC001606,SIMANTIK FINANCE BENEFIT CO PVT LTD,U72100AS1974PTC001606,34.04,MEDIUM,0.0,73.61,0.0,78.17,1,True
U70101AS1996PTC004659,PARK REAL ESTATES PVT LTD,U70101AS1996PTC004659,34.01,MEDIUM,0.0,76.39,0.0,74.54,1,True
U16003AS2000PTC006114,ASHUTOSH TOBACCO COMPANY PRIVATE LIMITED,U16003AS2000PTC006114,33.97,MEDIUM,0.0,72.5,0.0,79.24,1,True
U15314AS1999PTC005633,GUWAHATI TRADING PRIVATE LIMITED,U15314AS1999PTC005633,33.97,MEDIUM,0.0,72.5,0.0,79.24,1,True
U70101AS1993PTC003961,UMANANDA PROPERTIES PVT LTD,U70101AS1993PTC003961,33.97,MEDIUM,0.0,72.5,0.0,79.24,1,True
U92112AS1974PTC001461,NAVAJYOTI CHIT FUND PVT LTD,U92112AS1974PTC001461,33.96,MEDIUM,0.0,72.5,0.0,79.16,1,True
U72100AS1977PTC001688,ASHOKE ROADWAYS PRIVATE LIMITED,U72100AS1977PTC001688,33.96,MEDIUM,0.0,72.5,0.0,79.16,1,True
U74999AS2007PTC008507,NEI SOLUTIONS PRIVATE LIMITED,U74999AS2007PTC008507,33.92,MEDIUM,0.0,71.95,0.0,79.68,1,True
U24234AS2008PTC008649,RUDRZ INDIA BIOTECH PRIVATE LIMITED,U24234AS2008PTC008649,33.92,MEDIUM,0.0,71.95,0.0,79.68,1,True
U16009AS1974PTC001600,PHONO PANACEA PRIVATE LIMITED,U16009AS1974PTC001600,33.9,MEDIUM,0.0,72.5,0.0,78.87,1,True
U51228AS1997PTC005173,SOMROS INDIA PVT LIMITED,U51228AS1997PTC005173,33.9,MEDIUM,0.0,72.22,0.0,79.24,1,True
U51909AS1975PTC001631,ASSAM DISTRIBUTION CO PVT LTD,U51909AS1975PTC001631,33.9,MEDIUM,0.0,72.22,0.0,79.24,1,True
U11202AS1994PTC004218,RAINBOW OIL TECH PVT LTD,U11202AS1994PTC004218,33.9,MEDIUM,0.0,72.5,0.0,78.87,1,True
U85110AS1998PTC005426,CITY MATERNITY CENTRE PVT LTD,U85110AS1998PTC005426,33.9,MEDIUM,0.0,72.5,0.0,78.87,1,True
U22110AS1991PTC003563,RADHAGOBINDA PUBLICATION ENTERPRISES PVT LTD,U22110AS1991PTC003563,33.9,MEDIUM,0.0,72.5,0.0,78.87,1,True
U24246AS1994PLC004246,MURRAY JOHNSTONE INVESTMENTS LTD,U24246AS1994PLC004246,33.9,MEDIUM,0.0,73.05,0.0,78.21,1,True
U22300AS1987PTC002737,NORTH EASTERN COMPUTERS PVT LTD,U22300AS1987PTC002737,33.86,MEDIUM,0.0,72.5,0.0,78.65,1,True
U51909AS1993PTC003976,EAST HIMALAYAN EXIM PVT LTD,U51909AS1993PTC003976,33.86,MEDIUM,0.0,72.5,0.0,78.65,1,True
U51226AS1986PTC002481,GREEN VALLEY TEA TRADERS PVT LTD,U51226AS1986PTC002481,33.86,MEDIUM,0.0,72.5,0.0,78.65,1,True
U27107AS1997PTC005060,SIOTIA CASTINGS PVT LTD,U27107AS1997PTC005060,33.86,MEDIUM,0.0,72.5,0.0,78.65,1,True
U20211AS1988PTC003022,TREELINES PRODUCT PVT LTD,U20211AS1988PTC003022,33.86,MEDIUM,0.0,72.5,0.0,78.65,1,True
U72100AS1972PTC001378,RAJENDRA CHALACHITRA PVT LTD,U72100AS1972PTC001378,33.86,MEDIUM,0.0,72.5,0.0,78.65,1,True
U72100AS1973PTC001456,LITE ECONO SAVINGS CO PVT LTD,U72100AS1973PTC001456,33.86,MEDIUM,0.0,72.5,0.0,78.65,1,True
U24232AS1987PTC002651,ACB CHEMICALS AND PHARMACEUTICALS PVT LT D,U24232AS1987PTC002651,33.85,MEDIUM,0.0,71.66,0.0,79.68,1,True
U51109AS1995PTC004469,EASTERN MAGNETICS PRIVATE LIMITED,U51109AS1995PTC004469,33.83,MEDIUM,0.0,72.22,0.0,78.87,1,True
U72100AS1995PTC004524,KIT CHEMICALS PRIVATE LIMITED,U72100AS1995PTC004524,33.83,MEDIUM,0.0,72.5,0.0,78.5,1,True
U45201AS1995PTC004371,OPAL INDIA PVT LTD,U45201AS1995PTC004371,33.8,MEDIUM,0.0,72.5,0.0,78.36,1,True
U62100AS1995PLC004638,NORTH EASTERN AIRWAYS LIMITED,U62100AS1995PLC004638,33.8,MEDIUM,0.0,72.5,0.0,78.36,1,True
U01132AS1985PTC002461,SHUTTERS INDIA PRIVATE LTD,U01132AS1985PTC002461,33.78,MEDIUM,0.0,71.66,0.0,79.34,1,True
U51909AS2008PLC008656,SAI BABA COMMERCIAL MARKETING COMPANY (I NDIA) LIMITED,U51909AS2008PLC008656,33.78,MEDIUM,0.0,71.39,0.0,79.68,1,True
U45201AS2008PTC008795,HILL VALLEY INFRACON PRIVATE LIMITED,U45201AS2008PTC008795,33.78,MEDIUM,0.0,71.39,0.0,79.68,1,True
U24119AS1986PTC002549,PRACHI CHEMICAL AND INDUSTRIES PVT LTD.,U24119AS1986PTC002549,33.78,MEDIUM,0.0,71.39,0.0,79.68,1,True
U72100AS1974PTC001497,OASIS CREDIT & INVESTMENT PVT LTD,U72100AS1974PTC001497,33.78,MEDIUM,0.0,72.5,0.0,78.28,1,True
U70101AS1986PTC002548,PANCHMUKHI PROPERTIES PVT LIMITED.,U70101AS1986PTC002548,33.78,MEDIUM,0.0,71.39,0.0,79.68,1,True
U45203AS1986PTC002556,GEMCO ENGINEERING INDUSTRIES LIMITED,U45203AS1986PTC002556,33.78,MEDIUM,0.0,71.39,0.0,79.68,1,True
U01132AS1986PTC002561,ASSAM STRIPS AND SHEETS PVT LTD,U01132AS1986PTC002561,33.75,MEDIUM,0.0,71.66,0.0,79.16,1,True
U20211AS1976PTC001668,HOTEL MOREENO PRIVATE LIMITED,U20211AS1976PTC001668,33.74,MEDIUM,0.0,71.66,0.0,79.13,1,True
U51109AS1993PTC003904,ALPS AGRO FARMS PVT LTD,U51109AS1993PTC003904,33.72,MEDIUM,0.0,71.39,0.0,79.35,1,True
U45201AS2004PTC007577,KESAR CONSTRUCTIONS PRIVATE LIMITED,U45201AS2004PTC007577,33.72,MEDIUM,0.0,80.0,0.0,68.59,1,True
U63040AS1993PTC003887,PADAM CARRIERS AND TRADERS PVT LTD,U63040AS1993PTC003887,33.72,MEDIUM,0.0,71.39,0.0,79.35,1,True
U74992AS2014PTC011745,THREE STAR BROKING PRIVATE LIMITED,U74992AS2014PTC011745,33.72,MEDIUM,0.0,80.0,0.0,68.59,1,True
U72200AS2007PTC008405,AMPERSAND TRADING PRIVATE LIMITED,U72200AS2007PTC008405,33.71,MEDIUM,0.0,71.11,0.0,79.68,1,True
U51109AS1982PTC001953,BUSINESS PROMOTIONS PVT LTD,U51109AS1982PTC001953,33.7,MEDIUM,0.0,71.39,0.0,79.24,1,True
U67120AS1983PTC002016,SUNEER PVT LTD,U67120AS1983PTC002016,33.7,MEDIUM,0.0,71.39,0.0,79.24,1,True
U25114AS1986PTC002569,SPEEDEX INDIA PVT LTD,U25114AS1986PTC002569,33.7,MEDIUM,0.0,71.39,0.0,79.24,1,True
U22121AS1982PTC001957,MEDICARE PVT LTD,U22121AS1982PTC001957,33.7,MEDIUM,0.0,71.39,0.0,79.24,1,True
U85199AS1982PTC001954,FAR EASTERN LABORATORIES PVT LTD,U85199AS1982PTC001954,33.7,MEDIUM,0.0,71.39,0.0,79.24,1,True
