entity_id,entity_name,entity_type,source
U51909AS2010PTC009848,REE RANG MARKETING PRIVATE LIMITED,COMPANY,companies_registry
U51909AS2010PTC009970,BILDAD MARKETING AND TRADING PRIVATE LIMITED,COMPANY,companies_registry
U51909AS2010PTC010148,GARIBI SURAKSHA MULTITRADE PRIVATE LIMITED,COMPANY,companies_registry
U51909AS2010PTC010246,JANASAROTHI TRADING & INVESTMENTS PRIVATE LIMITED,COMPANY,companies_registry
U85320AS2019PTC019622,DIRGHAYUH ENTERPRISE PRIVATE LIMITED,COMPANY,companies_registry
U51909AS2013PTC011650,SBC ENTERPRISE PRIVATE LIMITED,COMPANY,companies_registry
U86100AS2024PTC026027,KAUSTUBHAKALI HEALTHCARE SOLUTIONS PRIVATE LIMITED,COMPANY,companies_registry
U51909AS2020PTC020031,FARM NATIVE INDIA PRIVATE LIMITED,COMPANY,companies_registry
U51909AS2020PTC020060,FREESIA LIFECARE PRIVATE LIMITED,COMPANY,companies_registry
U86100AS2024PTC027065,NORTH EASTERN INSTITUTE OF NEUROLOGY AND SPINE PRIVATE LIMITED,COMPANY,companies_registry
U51909AS2020PTC020620,ZATNA PHARMACEUTICAL PRIVATE LIMITED,COMPANY,companies_registry
U86201AS2024PTC027296,HITCURE NETWORKS PRIVATE LIMITED,COMPANY,companies_registry
U51909AS2020PTC020771,BROADER MARKETING AND SERVICES PRIVATE LIMITED,COMPANY,companies_registry
U51909AS2021OPC021257,HULLET TRADING (OPC) PRIVATE LIMITED,COMPANY,companies_registry
U29253AS2012PTC010889,TSI ENGINEERING INDUSTRIES PRIVATE LIMITED,COMPANY,companies_registry
U29299AS2008PTC008843,DATA INFOTECH TRADING PRIVATE LIMITED,COMPANY,companies_registry
U51909AS2021PTC020990,BORLUIT CREATION PRIVATE LIMITED,COMPANY,companies_registry
U51909AS2021PTC021535,NORTH EASTERN TRADELINK PRIVATE LIMITED,COMPANY,companies_registry
U51909AS2021PTC021551,VAKSIT LIFE PRIVATE LIMITED,COMPANY,companies_registry
U45202AS1964PTC017429,SINGLA & JAIN (ENGINEERS) PVT LTD,COMPANY,companies_registry
U51909AS2021PTC022128,GREENLIVING INTERNATIONAL PRIVATE LIMITED,COMPANY,companies_registry
U45202AS2006PTC008275,BRAHMAPUTRA ENGINEERING PRIVATE LIMITED,COMPANY,companies_registry
U51909AS2021PTC022356,AEROBONIX ONLINE PRIVATE LIMITED,COMPANY,companies_registry
U51909AS2022PTC022400,JOZTY EMPORIA PRIVATE LIMITED,COMPANY,companies_registry
U51909AS2022PTC022618,SUNBOW PHARMACEUTICALS PRIVATE LIMITED,COMPANY,companies_registry
U51909AS2022PTC023780,GENWIN PHARMA PRIVATE LIMITED,COMPANY,companies_registry
U45202AS2019PTC019515,PD PROJECTS AND CONSULTANTS PRIVATE LIMITED,COMPANY,companies_registry
